city,county,state,fips,latitude,longitude,population,redState,unemploymentRate,povertyProp,tempDiff,numDisasters,avgEmissionsPerCapita,UNFCCC,hasCommitments,hasActionsUndertaken,hasEmissionInventory,hasInitiativeParticipations,hasImpact,hasMitigations,hasAdaptations,hasRiskAssessments,hasClimateActionPlans,hasFinanceActions
New Haven,South Central Connecticut,CT,9170.0,41.3113,-72.9246,565572.0,False,0.045,,-0.5519761904761893,31.0,9.883333333333333,False,False,False,False,True,False,False,False,False,False,False
Muskegon,Muskegon,MI,26121.0,43.2281,-86.2562,166847.0,False,0.039,0.14400000000000002,-0.7531666666666652,37.0,15.283333333333333,False,False,False,False,True,False,False,False,False,False,False
Montpelier,Washington,VT,50023.0,44.2659,-72.5717,8030.0,False,0.023,0.08800000000000001,-0.890785714285709,45.0,9.133333333333335,False,True,False,False,True,False,False,False,False,False,False
Montgomery County,,MD,,,,,,,,,,,,True,False,False,True,False,False,False,False,False,False
Plattsburgh,Clinton,NY,36019.0,44.6951,-73.4563,19907.0,False,0.044,0.151,-0.9301904761904787,95.0,8.316666666666666,False,False,False,False,True,False,False,False,False,False,False
Pinecrest,Miami-Dade,FL,12086.0,25.665,-80.3042,18279.0,True,0.031,0.152,1.8295714285714304,130.0,10.883333333333333,False,False,False,False,True,False,False,False,False,False,False
Palm Springs,Riverside,CA,6065.0,33.8017,-116.5382,44935.0,False,0.053,0.11599999999999999,-0.8213214285714301,284.0,8.716666666666669,False,False,False,False,True,False,False,False,False,False,False
Norfolk,,AR,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
Niagara Falls,Niagara,NY,36063.0,43.0921,-79.0147,48502.0,False,0.044,0.13,-0.9301904761904787,95.0,8.316666666666666,False,False,False,False,True,False,False,False,False,False,False
Orange County,,CA,,,,,,,,,,,,False,False,False,True,False,False,False,False,False,False
King County,,WA,,,,,,,,,,,,False,True,False,True,False,False,False,False,False,True
Milwaukie,Clackamas,OR,41005.0,45.4445,-122.6219,21195.0,False,0.042,0.084,-1.1447023809523849,79.0,9.316666666666666,False,False,True,False,False,False,False,True,True,False,False
Brisbane,San Mateo,CA,6081.0,37.6902,-122.4021,4756.0,False,0.053,0.068,-0.8213214285714301,284.0,8.716666666666669,False,False,False,False,True,False,False,False,False,False,False
Saratoga Springs,Saratoga,NY,36091.0,43.0674,-73.7775,74339.0,False,0.044,0.077,-0.9301904761904787,95.0,8.316666666666666,False,False,True,False,False,False,False,True,False,False,False
